space_time_id,GID_0,NAME_0,GID_2,NAME_1,year,month,day,country,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,source,radio,mcc,net,ran_usd,tower_usd,power_usd,backhaul_usd,labor_usd,total_usd,pop,wealth_usd,wealth_cfa,usd_to_cfa,direct_cost,indirect_cost_usd,value_at_risk,protection_costs,benefit-cost-ratio
2023_3_29_-3.6247_12.0203,BFA,Burkina Faso,BFA.1.4_1,Boucle du Mouhoun,2023,3,29,BFA,Boucle du Mouhoun,Fakena,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 29 March 2023, presumed JNIM militants destroyed cell phone network antenna in the village of Fakena (Ouarkoye, Mouhoun).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,12473,3119738,5002,0.0016,91000,35898,126898,2576,49.3
2022_2_22_0.1141_11.3051,BFA,Burkina Faso,BFA.3.2_1,Centre-Est,2022,2,22,BFA,Centre-Est,Kiouguen,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 22 February 2022, presumed JNIM militants sabotaged a telecommunications antenna in the village of Kiouguen (Sangha, Koulpelogo).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,24282,6188987,9911,0.0016,91000,71216,162216,2576,63.0
2022_3_10_0.783_12.05,BFA,Burkina Faso,BFA.8.2_1,Est,2022,3,10,BFA,Est,Tanwalbougou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 10 March 2022, presumed JNIM militants burned a telecommunications antenna near the village of Tanwalbougou (Fada Ngourma, Gourma).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,1.0,40000,15000,5000,30000,1000,91000,13302,3894910,6242,0.0016,91000,44818,135818,2576,52.7
2022_10_9_-0.5758_13.6334,BFA,Burkina Faso,BFA.4.2_1,Centre-Nord,2022,10,9,BFA,Centre-Nord,Damkarko,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 9 October 2022, presumed JNIM militants burned a telecommunications antenna in the village of Damkarko (Bouroum, Namentenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,23098,5726779,9165,0.0016,91000,65897,156897,2576,60.9
2022_10_16_-0.2834_12.7193,BFA,Burkina Faso,BFA.4.2_1,Centre-Nord,2022,10,16,BFA,Centre-Nord,Dargo,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 October 2022, presumed JNIM militants burned a police station, the mayor's office, a credit union, telecommunications antennas, and a high school in the town of Dargo (Dargo, Namentenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Police Forces of Burkina Faso (2022-); Government of Burkina Faso (2022-),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613.0,2.0,40000,15000,5000,30000,1000,91000,14786,5029096,8046,0.0016,91000,57869,148869,2576,57.8
2022_11_4_-4.2618_11.6412,BFA,Burkina Faso,BFA.9.1_1,Haut-Bassins,2022,11,4,BFA,Hauts-Bassins,Padema,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 4 November 2022, presumed JNIM militants burned a credit union and telecommunications antennas in the village of Padema (Padema, Houet).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,14642,3795644,6075,0.0016,91000,43676,134676,2576,52.3
2023_2_16_-0.1311_12.7097,BFA,Burkina Faso,BFA.8.1_1,Est,2023,2,16,BFA,Est,Piela,communications,installation,Looting/property destruction,ransacking,unknown,"Property destruction: On 16 February 2023, presumed JNIM militants attacked the police station in the town of Piela (Piela, Gnagna). The militants set fire to the police station and the town hall, they also vandalized telecommunications installations.",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Police Forces of Burkina Faso (2022-),,State Forces,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613.0,2.0,40000,15000,5000,30000,1000,91000,30137,9277802,14846,0.0016,91000,106758,197758,2576,76.8
2022_10_25_-3.5667_10.6833,BFA,Burkina Faso,BFA.13.1_1,Sud-Ouest,2022,10,25,BFA,Sud-Ouest,Diassara,communications,installation,Abduction/forced disappearance,destruction,destroyed,"On 25 October 2022, presumed JNIM militants abducted a fuel vendor and destroyed a telecommunications installation in the village of Diassara (Iolonioro, Bougouriba)",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Labour Group (Burkina Faso),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,22843,6295668,10072,0.0016,91000,72443,163443,2576,63.4
2022_11_1_-3.3928_11.555,BFA,Burkina Faso,BFA.9.3_1,Haut-Bassins,2022,11,1,BFA,Hauts-Bassins,Boni,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 1 November 2022, JNIM militants destroyed a telecommunications antenna in Boni (Boni, Tuy).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,1.0,40000,15000,5000,30000,1000,91000,14464,3797800,6073,0.0016,91000,43701,134701,2576,52.3
2023_2_26_1.6167_11.9333,BFA,Burkina Faso,BFA.8.5_1,Est,2023,2,26,BFA,Est,Partiaga,communications,installation,Non-state actor overtakes territory,arson,burned,"On 26 February 2023, presumed JNIM militants captured the town of Partiaga (Partiaga, Tapoa). The militants burnt the Gendarmerie (empty), the town hall (empty) and cell phone installations. About sixty civilians and five volunteer fighters were killed.",65,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,,Identity Militias,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,17308,4643733,7430,0.0016,91000,53435,144435,2576,56.1
